"DAY","CO2.kg/m^3"
2021-06-17 12:00:00,7
2021-06-18 12:00:00,7
2021-06-19 12:00:00,8
2021-06-21 12:00:00,7
2021-06-22 12:00:00,8
2021-06-23 12:00:00,8
2021-06-24 12:00:00,6
2021-06-25 12:00:00,7
2021-06-28 12:00:00,8
2021-06-29 12:00:00,8
2021-06-30 12:00:00,8
2021-07-02 12:00:00,8
2021-07-03 12:00:00,9
2021-07-04 12:00:00,8
2021-07-06 12:00:00,9
2021-07-07 12:00:00,8
2021-07-08 12:00:00,7.5
2021-07-09 12:00:00,7
2021-07-10 12:00:00,9
2021-07-11 12:00:00,8.5
2021-07-13 12:00:00,8
2021-07-14 12:00:00,9
2021-07-15 12:00:00,8.5
2021-07-16 12:00:00,8
2021-07-17 12:00:00,8
2021-07-18 12:00:00,9
2021-07-20 12:00:00,8
2021-07-21 12:00:00,8.5
2021-07-22 12:00:00,9
2021-07-23 12:00:00,9
2021-07-24 12:00:00,8
2021-07-25 12:00:00,7.5
2021-07-27 12:00:00,8.5
2021-07-28 12:00:00,9.5
2021-07-29 12:00:00,8
2021-07-31 12:00:00,9
2021-08-01 12:00:00,9
2021-08-03 12:00:00,9.5
2021-08-04 12:00:00,10
2021-08-05 12:00:00,9.5
2021-08-06 12:00:00,9
2021-08-07 12:00:00,9.5
2021-08-08 12:00:00,10
2021-08-10 12:00:00,10
2021-08-11 12:00:00,10.5
2021-08-12 12:00:00,10.5
2021-08-13 12:00:00,10.5
2021-08-14 12:00:00,10
2021-08-15 12:00:00,10
2021-08-17 12:00:00,10
2021-08-18 12:00:00,10
2021-08-19 12:00:00,10
2021-08-20 12:00:00,11
2021-08-21 12:00:00,11
2021-08-24 12:00:00,10
2021-08-25 12:00:00,11
2021-08-26 12:00:00,10
2021-08-27 12:00:00,12
2021-08-28 12:00:00,11
2021-08-29 12:00:00,6
2021-08-31 12:00:00,10
2021-09-01 12:00:00,9
2021-09-02 12:00:00,8
2021-09-11 12:00:00,8.5
2021-09-12 12:00:00,8
2021-09-14 12:00:00,9
2021-09-15 12:00:00,9
2021-09-16 12:00:00,8
2021-09-17 12:00:00,9.5
2021-09-18 12:00:00,10
2021-09-19 12:00:00,10
2021-09-21 12:00:00,9.5
2021-09-22 12:00:00,10
2021-09-23 12:00:00,9.5
2021-09-24 12:00:00,9
2021-09-25 12:00:00,10.5
2021-09-26 12:00:00,11
2021-09-28 12:00:00,11
2021-09-29 12:00:00,10.5
2021-09-30 12:00:00,10.5
2021-10-01 12:00:00,11
2021-10-03 12:00:00,11
2021-10-04 12:00:00,10.5
2021-10-06 12:00:00,11.5
2021-10-07 12:00:00,11
2021-10-08 12:00:00,10
2021-10-11 12:00:00,17
2021-10-12 12:00:00,17
2021-10-13 12:00:00,16.5
2021-10-14 12:00:00,17
2021-10-15 12:00:00,15.5
2021-10-16 12:00:00,17
2021-10-17 12:00:00,16
2021-10-18 12:00:00,17
2021-10-20 12:00:00,15.5
2021-10-21 12:00:00,16.5
2021-10-22 12:00:00,16
2021-10-23 12:00:00,17
2021-10-24 12:00:00,15.5
2021-10-25 12:00:00,17
2021-10-27 12:00:00,15.5
2021-10-28 12:00:00,16.5
2021-10-29 12:00:00,17
2021-10-30 12:00:00,16
2021-10-31 12:00:00,17.5
2021-11-01 12:00:00,17
2021-11-04 12:00:00,18
2021-11-05 12:00:00,17.5
2021-11-06 12:00:00,19
2021-11-07 12:00:00,19
2021-11-08 12:00:00,18
2021-11-10 12:00:00,19
2021-11-11 12:00:00,18
2021-11-12 12:00:00,18.5
2021-11-13 12:00:00,18.5
2021-11-14 12:00:00,18.5
2021-11-15 12:00:00,19
2021-11-17 12:00:00,22
2021-11-18 12:00:00,22
2021-11-19 12:00:00,21
2021-11-20 12:00:00,21
2021-11-21 12:00:00,20
2021-11-22 12:00:00,22
2021-11-24 12:00:00,21
2021-11-25 12:00:00,21
2021-11-26 12:00:00,23.5
2021-11-27 12:00:00,22
2021-11-28 12:00:00,22
2021-12-01 12:00:00,22
2021-12-02 12:00:00,22
2021-12-04 12:00:00,22
2021-12-05 12:00:00,22
2021-12-06 12:00:00,21.5
2021-12-07 12:00:00,22
2021-12-09 12:00:00,22.5
2021-12-10 12:00:00,22
2021-12-12 12:00:00,21
2021-12-13 12:00:00,21.5
2021-12-14 12:00:00,21
2021-12-16 12:00:00,21.5
2021-12-17 12:00:00,21.5
2021-12-18 12:00:00,21.5
2021-12-19 12:00:00,20
2021-12-20 12:00:00,21
2021-12-21 12:00:00,20
2021-12-23 12:00:00,22.5
2021-12-24 12:00:00,21.5
2021-12-25 12:00:00,22
2021-12-26 12:00:00,21.5
2021-12-27 12:00:00,22
2021-12-30 12:00:00,22.5
2021-12-31 12:00:00,22
2022-01-01 12:00:00,23
2022-01-02 12:00:00,22
2022-01-03 12:00:00,21.5
2022-01-06 12:00:00,21.5
2022-01-07 12:00:00,22
2022-01-08 12:00:00,23
2022-01-10 12:00:00,22
2022-01-11 12:00:00,21
2022-01-13 12:00:00,24
2022-01-14 12:00:00,23
2022-01-15 12:00:00,24
2022-01-16 12:00:00,22.5
2022-01-17 12:00:00,23.5
2022-01-18 12:00:00,24
2022-01-20 12:00:00,21.5
2022-01-21 12:00:00,23.5
2022-01-22 12:00:00,22.5
2022-01-23 12:00:00,23.5
2022-01-24 12:00:00,24.5
2022-01-25 12:00:00,25
2022-01-27 12:00:00,24.5
2022-01-28 12:00:00,23.5
2022-01-29 12:00:00,24.5
2022-01-30 12:00:00,23
2022-01-31 12:00:00,22.5
2022-02-01 12:00:00,21
2022-02-03 12:00:00,22.5
